condition,fictive_reward_x_cm,fictive_reward_y_cm,fictive_reward_x_px,fictive_reward_y_px
non-rewarded,-0.3802702702702703,6.625135135135136,617.9649999999999,642.5649999999999
rewarded,-0.27798008534850616,7.068278805120909,619.8573684210526,650.7631578947368
