fly,level_1,cum_dist,t,timestamp,frame,x_px,y_px,led_1,fname,segment,tseg,segment_start_ts,transx,transy,estimated_food_x,estimated_food_y,condition,cum_dist_seg,cum_dist_fly,fr_x_px,fr_y_px,distance_reward,dist_fictive_reward,fr_x_cm,fr_y_cm,distance_reward_cm,dist_fictive_reward_cm,transx_cm,transy_cm,x_cm,y_cm,estimated_food_x_cm,estimated_food_y_cm,cum_dist_cm,cum_dist_seg_cm,cum_dist_fly_cm
20,95358,8710.0,556.6,1547050024.1291,96288.5,472.03,601.9100000000002,0.0,flytrax20190109_165747.csv,test_before_movement,34.29200005531311,1547049989.8371,0.0,0.0,450.0,640.0,rewarded,520.7494107389728,8562.542283433091,22.029999999999973,-38.08999999999981,44.001920412636345,44.001920412636345,1.1908108108108093,-2.0589189189189083,2.3784821844668302,2.3784821844668302,0.0,0.0,-8.26864864864865,4.4275675675675785,-9.459459459459461,6.486486486486488,470.81081081081084,28.14861679670123,462.8401234288156
20,95359,8712.0,556.7,1547050024.23,96298.5,471.69,599.6999999999998,0.0,flytrax20190109_165747.csv,test_before_movement,34.39289999008179,1547049989.8371,0.0,0.0,450.0,640.0,rewarded,522.9854116334274,8564.778284327544,21.69,-40.30000000000018,45.76621133543845,45.76621133543845,1.1724324324324322,-2.178378378378388,2.473849261375052,2.473849261375052,0.0,0.0,-8.287027027027028,4.308108108108098,-9.459459459459461,6.486486486486488,470.91891891891885,28.269481709914988,462.9609883420293
20,95360,8714.0,556.8000000000002,1547050024.3300998,96308.5,471.31000000000006,597.72,0.0,flytrax20190109_165747.csv,test_before_movement,34.492999792099,1547049989.8371,0.0,0.0,450.0,640.0,rewarded,525.0015465495477,8566.794419243664,21.31000000000006,-42.279999999999966,47.34674751236879,47.34674751236879,1.151891891891895,-2.2854054054054043,2.559283649317232,2.559283649317232,0.0,0.0,-8.307567567567565,4.201081081081083,-9.459459459459461,6.486486486486488,471.02702702702703,28.378461975651216,463.06996860776565
20,95361,8716.0,556.9,1547050024.4312,96318.5,471.05,595.5800000000003,0.0,flytrax20190109_165747.csv,test_before_movement,34.59409999847412,1547049989.8371,0.0,0.0,450.0,640.0,rewarded,527.1572830826144,8568.950155776729,21.05000000000001,-44.419999999999725,49.15525302549033,49.15525302549033,1.1378378378378384,-2.4010810810810668,2.6570407040805586,2.6570407040805586,0.0,0.0,-8.32162162162162,4.08540540540542,-9.459459459459461,6.486486486486488,471.1351351351352,28.494988274735913,463.18649490685027
20,95362,8718.0,557.0,1547050024.531,96328.5,471.24,593.4799999999998,0.0,flytrax20190109_165747.csv,test_before_movement,34.693900108337395,1547049989.8371,0.0,0.0,450.0,640.0,rewarded,529.2658608023113,8571.058733496428,21.240000000000013,-46.52000000000021,51.139495500053776,51.139495500053776,1.1481081081081086,-2.5145945945946058,2.7642970540569607,2.7642970540569607,0.0,0.0,-8.311351351351354,3.9718918918918806,-9.459459459459461,6.486486486486488,471.24324324324317,28.608965448773585,463.30047208088797
20,95363,8720.0,557.1,1547050024.6318998,96338.5,472.05,591.5699999999998,0.0,flytrax20190109_165747.csv,test_before_movement,34.7947998046875,1547049989.8371,0.0,0.0,450.0,640.0,rewarded,531.3405174004016,8573.133390094517,22.050000000000008,-48.430000000000184,53.21341372248183,53.21341372248183,1.1918918918918926,-2.617837837837848,2.8764007417557744,2.8764007417557744,0.0,0.0,-8.267567567567568,3.868648648648639,-9.459459459459461,6.486486486486488,471.3513513513514,28.72110904867036,463.4126156807847
20,95364,8722.0,557.2,1547050024.732,96348.5,473.16,589.98,0.0,flytrax20190109_165747.csv,test_before_movement,34.89490008354187,1547049989.8371,0.0,0.0,450.0,640.0,rewarded,533.2796409137445,8575.072513607858,23.160000000000025,-50.01999999999998,55.12155658179474,55.12155658179474,1.251891891891893,-2.7037837837837837,2.979543599015932,2.979543599015932,0.0,0.0,-8.207567567567565,3.7827027027027036,-9.459459459459461,6.486486486486488,471.45945945945954,28.825926535878075,463.5174331679924
20,95365,8724.0,557.3000000000002,1547050024.833,96358.5,474.09,588.36,0.0,flytrax20190109_165747.csv,test_before_movement,34.99589991569519,1547049989.8371,0.0,0.0,450.0,640.0,rewarded,535.1476077228715,8576.940480416986,24.089999999999968,-51.63999999999999,56.98260875038979,56.98260875038979,1.3021621621621609,-2.7913513513513517,3.0801410135345826,3.0801410135345826,0.0,0.0,-8.1572972972973,3.695135135135136,-9.459459459459461,6.486486486486488,471.5675675675676,28.92689771474981,463.6184043468641
20,95366,8726.0,557.4,1547050024.9329998,96368.5,474.84,586.77,0.0,flytrax20190109_165747.csv,test_before_movement,35.095899820327766,1547049989.8371,0.0,0.0,450.0,640.0,rewarded,536.9056179617496,8578.698490655865,24.839999999999968,-53.23000000000002,58.74060350387967,58.74060350387967,1.3427027027027014,-2.8772972972972983,3.1751677569664687,3.1751677569664687,0.0,0.0,-8.116756756756757,3.609189189189188,-9.459459459459461,6.486486486486488,471.6756756756757,29.02192529522971,463.713431927344
20,95367,8728.0,557.5,1547050025.034,96378.5,475.32,585.14,0.0,flytrax20190109_165747.csv,test_before_movement,35.19689989089966,1547049989.8371,0.0,0.0,450.0,640.0,rewarded,538.6048236585385,8580.397696352653,25.32,-54.86000000000002,60.421204887026214,60.421204887026214,1.3686486486486482,-2.965405405405406,3.2660110749743905,3.2660110749743905,0.0,0.0,-8.090810810810813,3.52108108108108,-9.459459459459461,6.486486486486488,471.7837837837838,29.11377425181289,463.80528088392714
20,95368,8730.0,557.6,1547050025.1341002,96388.5,475.39,583.1999999999998,0.0,flytrax20190109_165747.csv,test_before_movement,35.297000169754035,1547049989.8371,0.0,0.0,450.0,640.0,rewarded,540.5460861343518,8582.338958828466,25.389999999999986,-56.80000000000018,62.21649379384876,62.21649379384876,1.3724324324324315,-3.07027027027028,3.3630537185864187,3.3630537185864187,0.0,0.0,-8.087027027027029,3.4162162162162057,-9.459459459459461,6.486486486486488,471.8918918918919,29.21870735861361,463.9102139907279
20,95369,8732.0,557.7,1547050025.235,96398.5,475.5,580.84,0.0,flytrax20190109_165747.csv,test_before_movement,35.39789986610413,1547049989.8371,0.0,0.0,450.0,640.0,rewarded,542.9086483028458,8584.70152099696,25.5,-59.15999999999997,64.42170131252354,64.42170131252354,1.3783783783783785,-3.1978378378378363,3.482254125001272,3.482254125001272,0.0,0.0,-8.08108108108108,3.2886486486486506,-9.459459459459461,6.486486486486488,472.0,29.346413421775452,464.0379200538897
20,95370,8734.0,557.8000000000002,1547050025.3352,96408.5,475.44,578.6300000000001,0.0,flytrax20190109_165747.csv,test_before_movement,35.49810004234314,1547049989.8371,0.0,0.0,450.0,640.0,rewarded,545.1194626324536,8586.912335326568,25.44,-61.3699999999999,66.43395592616766,66.43395592616766,1.375135135135135,-3.3172972972972916,3.591024644657711,3.591024644657711,0.0,0.0,-8.084324324324324,3.1691891891891952,-9.459459459459461,6.486486486486488,472.1081081081081,29.465916899051557,464.1574235311659
20,95371,8736.0,557.9,1547050025.436,96418.5,475.06,576.5400000000002,0.0,flytrax20190109_165747.csv,test_before_movement,35.59890007972717,1547049989.8371,0.0,0.0,450.0,640.0,rewarded,547.2437272110785,8589.036599905192,25.06,-63.45999999999981,68.22884434020538,68.22884434020538,1.3545945945945947,-3.43027027027026,3.6880456400111017,3.6880456400111017,0.0,0.0,-8.104864864864865,3.0562162162162267,-9.459459459459461,6.486486486486488,472.2162162162162,29.58074201140965,464.2722486435239
