fly	condition	from	to	angle_enter_exit
0	rewarded	[0.06756757 0.93891892]	[0.80378378 0.07945946]	-1.4004204098186557
1	rewarded	[0.47243243 0.84054054]	[ 0.06540541 -0.9772973 ]	-2.562713982783775
3	rewarded	[-0.57459459  0.80810811]	[0.31027027 0.89243243]	-0.9526907396424331
4	rewarded	[-0.9227027   0.35081081]	[-0.96810811 -0.16918919]	0.5363364567094964
5	rewarded	[-0.15189189  0.98432432]	[-0.10216216  0.9772973 ]	-0.048946117269152545
6	rewarded	[0.77081081 0.59027027]	[ 0.30972973 -0.91243243]	-1.8970694936974073
7	non-rewarded	[0.34437346 0.79941032]	[0.19135135 0.73351351]	0.15157744389904204
8	non-rewarded	[-0.8227027   0.30540541]	[-0.64144144 -0.64960961]	1.1471792485206613
9	rewarded	[0.05189189 0.99027027]	[-0.8972973  -0.39459459]	2.0374551650660218
10	rewarded	[-0.28594595  0.87027027]	[0.67891892 0.58702703]	-1.1753173455103507
11	rewarded	[0.93873874 0.14894895]	[-0.63891892 -0.71675676]	-2.456198627875065
12	rewarded	[0.55675676 0.74648649]	[0.91297297 0.03189189]	-0.895047569286004
13	non-rewarded	[-0.94216216 -0.1227027 ]	[0.74       0.55675676]	-2.6260802325763395
14	non-rewarded	[-0.08378378  0.94054054]	[0. 0.]	-1.6596422745495512
15	non-rewarded	[-0.90216216 -0.29945946]	[-0.67243243  0.69297297]	-1.1209323644875475
16	rewarded	[-0.12378378  0.97945946]	[0.58216216 0.66702703]	-0.8432796592929401
17	non-rewarded	[0.28378378 0.88378378]	[-0.34288288 -0.92690691]	3.0979829790036035
18	non-rewarded	[-0.01567568  0.93783784]	[-0.88816817  0.0760961 ]	1.4686143337205255
19	non-rewarded	[0.68690691 0.70474474]	[-0.94432432 -0.09189189]	2.4403817054676082
20	rewarded	[0.31159159 0.92948949]	[ 0.60525799 -0.63538084]	-2.0570143826817544
21	non-rewarded	[0.16648649 0.92918919]	[0.29081081 0.93405405]	-0.12453740005746461
22	non-rewarded	[0.10972973 0.94756757]	[-0.35621622 -0.83513514]	2.853708667058358
23	rewarded	[-0.88324324 -0.35945946]	[0.75243243 0.38582583]	-3.0542865155633487
24	non-rewarded	[-0.62594595 -0.5972973 ]	[0.19279279 0.9196997 ]	-2.5394123124857018
25	rewarded	[-0.1172973   0.87405405]	[0.71567568 0.47945946]	-1.1139333969906753
26	non-rewarded	[-0.89837838 -0.04702703]	[-0.34432432 -0.86864865]	1.1411063682692717
27	non-rewarded	[-0.6572973   0.61945946]	[0. 0.]	-2.3858217202672405
28	rewarded	[-0.3572973  0.8427027]	[0.35243243 0.60648649]	-0.9274250063584724
29	rewarded	[0.53621622 0.73621622]	[0.67135135 0.63135135]	-0.186599485643268
30	rewarded	[-0.89027027  0.28810811]	[0.62474474 0.77153153]	-1.938469845622517
31	non-rewarded	[0.15147147 0.91303303]	[-0.24648649 -0.83351351]	3.018469101848728
32	non-rewarded	[0.70648649 0.70594595]	[-0.90378378 -0.40486486]	2.7777387776457134
33	rewarded	[-0.81027027  0.47837838]	[-0.78702703 -0.47351351]	1.0749566653784939
34	rewarded	[-0.87420147  0.10712531]	[0.61621622 0.75255255]	-2.1349839990629755
35	non-rewarded	[-0.49081081  0.76702703]	[-0.82540541  0.45405405]	0.4986445051853292
36	non-rewarded	[-0.75945946  0.61459459]	[ 0.24619165 -0.8639312 ]	2.5287621131551514
37	non-rewarded	[-0.78864865  0.00756757]	[-0.72144144  0.68852853]	-0.752464094312359
38	non-rewarded	[-0.95513514  0.27675676]	[ 0.34594595 -0.91081081]	2.2158206863947214
39	non-rewarded	[-0.41783784  0.83837838]	[0.98108108 0.17945946]	-1.8522336547048956
