x_px	y_px	x_cm	y_cm	fname	estimated_food_x_cm	estimated_food_y_cm	estimated_food_x	estimated_food_y	condition	reward_x_cm	reward_y_cm	reward_relative_x	reward_relative_y	fr_span	ar_span	angle_fr	angle_ar	anlge_reloc_start
722.7900000000003	572.18	5.285945945945962	2.820540540540538	flytrax20181123_114304.csv	2.6102702702702683	7.962162162162159	673.29	667.3	rewarded	-9.459459459459461	6.486486486486488	-12.069729729729726	-1.4756756756756726	0.4850941474293652	0.17882794085886275	2.0506267225338712	2.897916859490529	-3.0199339174379576
737.1299999999999	536.2299999999998	6.061081081081076	0.8772972972972859	flytrax20181123_152457.csv	5.9783783783783795	5.935135135135133	735.6	629.8	rewarded	-9.459459459459461	6.486486486486488	-15.437837837837838	0.5513513513513537	0.5636650813319647	0.16451108300548709	1.5871462644259244	2.7947944976692463	3.1058935409104693
647.99	576.5999999999998	1.2427027027027029	3.0594594594594486	flytrax20181123_162408.csv	2.097297297297295	8.827027027027025	663.8	683.3	rewarded	-9.459459459459461	6.486486486486488	-11.556756756756757	-2.3405405405405384	0.4819891564586804	0.242889239438498	1.4236941953632405	2.8316917962964587	-2.9417696958284107
754.6700000000003	585.3199999999998	7.0091891891892075	3.5308108108108014	flytrax20181127_162328.csv	3.72972972972973	7.875675675675678	694.0	665.7	rewarded	-9.459459459459461	6.486486486486488	-13.189189189189188	-1.3891891891891914	0.5195532902956668	0.16224193963403868	2.217355833694313	2.9640103470094985	-3.036651713494284
527.51	586.47	-5.269729729729732	3.5929729729729742	flytrax20181204_163734.csv	-6.7513513513513495	8.086486486486487	500.1	669.6	rewarded	-9.459459459459461	6.486486486486488	-2.7081081081081098	-1.6000000000000003	0.6079885924877221	0.5595405825868238	1.8892954475627397	2.5371893887103183	-2.6079517114460593
765.1800000000003	570.9399999999998	7.577297297297312	2.753513513513504	flytrax20181204_170930.csv	7.0108108108108125	8.0	754.7	668.0	rewarded	-9.459459459459461	6.486486486486488	-16.470270270270273	-1.5135135135135132	0.5377075284299033	0.15559019206313265	1.6783540805066597	2.9258886640328887	-3.0499563486740824
692.55	547.72	3.651351351351349	1.49837837837838	flytrax20181205_182038.csv	0.8810810810810786	6.086486486486487	641.3	632.6	non-rewarded	-9.459459459459461	6.486486486486488	-10.340540540540538	0.39999999999999947	0.5285419407142159	0.19388225948332632	2.1140005643106177	2.7780458113783584	3.102929233250184
617.3666666666667	564.1777777777778	-0.4126126126126122	2.387987987987989	flytrax20181205_184643.csv	0.3729729729729717	7.318918918918919	631.9	655.4	non-rewarded	-9.459459459459461	6.486486486486488	-9.832432432432432	-0.8324324324324319	0.5719653034677293	0.27559834922286713	1.4128062045223797	2.7162213343253603	-3.0571321612530005
590.6999999999998	552.65	-1.854054054054064	1.7648648648648635	flytrax20181207_161754.csv	-1.9513513513513523	6.7513513513513495	588.9	644.9	rewarded	-9.459459459459461	6.486486486486488	-7.5081081081081065	-0.2648648648648626	0.5726988817146484	0.30670076965800114	1.5903060462172631	2.5860016179671983	-3.1063300987523337
627.6099999999999	549.67	0.14108108108107567	1.6037837837837816	flytrax20181207_180201.csv	1.054054054054054	6.5675675675675675	644.5	641.5	rewarded	-9.459459459459461	6.486486486486488	-10.513513513513514	-0.08108108108108159	0.5651019754214451	0.2536383653031053	1.3889024240518797	2.6710996796246818	-3.133880724217275
665.4300000000002	577.8199999999998	2.185405405405415	3.125405405405396	flytrax20181211_170828.csv	-2.5297297297297274	6.4270270270270276	578.2	638.9	rewarded	-9.459459459459461	6.486486486486488	-6.929729729729733	0.05945945945946018	0.4887623043380194	0.22488187859602904	2.530720519614131	2.860597533786017	3.1330125209349347
506.23	568.66	-6.419999999999999	2.6302702702702687	flytrax20181211_183411.csv	-4.600000000000001	7.070270270270267	539.9	650.8	rewarded	-9.459459459459461	6.486486486486488	-4.859459459459458	-0.5837837837837805	0.5982947028093807	0.5828930501029616	1.1817762235016036	2.2382989923508787	-3.022032142853587
662.39	300.49999999999994	2.02108108108108	-11.864864864864867	flytrax20181211_185727.csv	2.616216216216215	7.951351351351353	673.4	667.1	non-rewarded	-9.459459459459461	6.486486486486488	-12.075675675675676	-1.4648648648648663	0.13675281192855654	0.12518250419825122	1.5407726181793056	2.1298244460931723	-3.0208754096283097
683.5	589.01	3.1621621621621623	3.7302702702702697	flytrax20181211_192052.csv	0.6864864864864889	6.583783783783781	637.7	641.8	non-rewarded	-9.459459459459461	6.486486486486488	-10.145945945945947	-0.09729729729729453	0.797230334953832	0.21075961679723093	2.2854132462991927	2.9265951563562536	-3.132003176632837
673.02	388.73999999999984	2.5956756756756745	-7.095135135135144	flytrax20181212_193040.csv	-1.4756756756756733	6.951351351351353	597.7	648.6	non-rewarded	-9.459459459459461	6.486486486486488	-7.983783783783786	-0.4648648648648663	0.185873350638576	0.14938194249908085	1.8529138850627749	2.296721821721274	-3.0834321870252017
667.55	601.65	2.2999999999999976	4.413513513513513	flytrax20181214_174232.csv	-2.1297297297297284	7.064864864864867	585.6	650.7	rewarded	-9.459459459459461	6.486486486486488	-7.329729729729731	-0.57837837837838	0.5509753046156306	0.2283209023322618	2.6022505456119807	2.9671040178039108	-3.062847266150747
757.3100000000003	550.47	7.151891891891908	1.6470270270270284	flytrax20181217_192137.csv	-4.513513513513512	6.9783783783783795	541.5	649.1	non-rewarded	-9.459459459459461	6.486486486486488	-4.945945945945947	-0.4918918918918935	0.21231291815718187	0.15685036080508374	2.7129142819476315	2.8581047120893253	-3.042465068029924
