fly	fname	condition	segment	location	fraction
18	flytrax20181218_164433.csv	non-rewarded	relocation	at_center	0.32
18	flytrax20181218_164433.csv	non-rewarded	stimulation	at_center	0.0
18	flytrax20181218_164433.csv	non-rewarded	post-stim	at_center	0.0
19	flytrax20181218_175537.csv	non-rewarded	after_relocation	at_center	0.01259706643658326
19	flytrax20181218_175537.csv	non-rewarded	baseline	at_center	0.0
19	flytrax20181218_175537.csv	non-rewarded	relocation	at_center	0.5
19	flytrax20181218_175537.csv	non-rewarded	stimulation	at_center	0.0
19	flytrax20181218_175537.csv	non-rewarded	post-stim	at_center	0.0
20	flytrax20190109_165747.csv	rewarded	after_relocation	at_center	0.013333333333333334
20	flytrax20190109_165747.csv	rewarded	baseline	at_center	0.010599721059972108
20	flytrax20190109_165747.csv	rewarded	relocation	at_center	0.0
20	flytrax20190109_165747.csv	rewarded	stimulation	at_center	0.0
20	flytrax20190109_165747.csv	rewarded	post-stim	at_center	0.0
21	flytrax20190110_152909.csv	non-rewarded	after_relocation	at_center	0.0
21	flytrax20190110_152909.csv	non-rewarded	baseline	at_center	0.0
21	flytrax20190110_152909.csv	non-rewarded	relocation	at_center	0.0
21	flytrax20190110_152909.csv	non-rewarded	stimulation	at_center	0.0
21	flytrax20190110_152909.csv	non-rewarded	post-stim	at_center	0.20606060606060608
22	flytrax20190110_162901.csv	non-rewarded	after_relocation	at_center	0.009782049081860306
22	flytrax20190110_162901.csv	non-rewarded	baseline	at_center	0.02676879993410757
22	flytrax20190110_162901.csv	non-rewarded	relocation	at_center	0.06666666666666668
22	flytrax20190110_162901.csv	non-rewarded	stimulation	at_center	0.0
22	flytrax20190110_162901.csv	non-rewarded	post-stim	at_center	0.0
23	flytrax20190110_170616.csv	rewarded	after_relocation	at_center	0.014588398749565822
23	flytrax20190110_170616.csv	rewarded	baseline	at_center	0.0
23	flytrax20190110_170616.csv	rewarded	relocation	at_center	0.0
23	flytrax20190110_170616.csv	rewarded	stimulation	at_center	0.0
23	flytrax20190110_170616.csv	rewarded	post-stim	at_center	0.0
24	flytrax20190110_173636.csv	non-rewarded	after_relocation	at_center	0.0
24	flytrax20190110_173636.csv	non-rewarded	baseline	at_center	0.0
24	flytrax20190110_173636.csv	non-rewarded	relocation	at_center	0.0
24	flytrax20190110_173636.csv	non-rewarded	stimulation	at_center	0.0
24	flytrax20190110_173636.csv	non-rewarded	post-stim	at_center	0.0
25	flytrax20190110_182810.csv	rewarded	after_relocation	at_center	0.0036932435368238095
25	flytrax20190110_182810.csv	rewarded	baseline	at_center	0.005063291139240506
25	flytrax20190110_182810.csv	rewarded	relocation	at_center	0.0
25	flytrax20190110_182810.csv	rewarded	stimulation	at_center	0.0
25	flytrax20190110_182810.csv	rewarded	post-stim	at_center	0.0
26	flytrax20190111_164022.csv	non-rewarded	after_relocation	at_center	0.0
26	flytrax20190111_164022.csv	non-rewarded	baseline	at_center	0.0
26	flytrax20190111_164022.csv	non-rewarded	relocation	at_center	0.0
26	flytrax20190111_164022.csv	non-rewarded	stimulation	at_center	0.0
26	flytrax20190111_164022.csv	non-rewarded	post-stim	at_center	0.0
27	flytrax20190111_172208.csv	non-rewarded	after_relocation	at_center	0.003854239663629993
27	flytrax20190111_172208.csv	non-rewarded	baseline	at_center	0.0
27	flytrax20190111_172208.csv	non-rewarded	relocation	at_center	0.5
27	flytrax20190111_172208.csv	non-rewarded	stimulation	at_center	0.0
27	flytrax20190111_172208.csv	non-rewarded	post-stim	at_center	0.0
28	flytrax20190111_190138.csv	rewarded	after_relocation	at_center	0.01983794355965354
28	flytrax20190111_190138.csv	rewarded	baseline	at_center	0.04174950298210736
28	flytrax20190111_190138.csv	rewarded	relocation	at_center	0.35714285714285715
28	flytrax20190111_190138.csv	rewarded	stimulation	at_center	0.0
28	flytrax20190111_190138.csv	rewarded	post-stim	at_center	0.0
29	flytrax20190111_192056.csv	rewarded	after_relocation	at_center	0.001323918799646955
29	flytrax20190111_192056.csv	rewarded	baseline	at_center	0.06358199559332704
29	flytrax20190111_192056.csv	rewarded	relocation	at_center	0.5454545454545454
29	flytrax20190111_192056.csv	rewarded	stimulation	at_center	0.0
29	flytrax20190111_192056.csv	rewarded	post-stim	at_center	0.0
30	flytrax20190116_152245.csv	rewarded	after_relocation	at_center	0.0012484394506866415
30	flytrax20190116_152245.csv	rewarded	baseline	at_center	0.0006370238246910432
30	flytrax20190116_152245.csv	rewarded	relocation	at_center	0.0
30	flytrax20190116_152245.csv	rewarded	stimulation	at_center	0.0
30	flytrax20190116_152245.csv	rewarded	post-stim	at_center	0.0
31	flytrax20190116_160702.csv	non-rewarded	after_relocation	at_center	0.009193408499566348
31	flytrax20190116_160702.csv	non-rewarded	baseline	at_center	0.0
31	flytrax20190116_160702.csv	non-rewarded	relocation	at_center	0.0
31	flytrax20190116_160702.csv	non-rewarded	stimulation	at_center	0.0
31	flytrax20190116_160702.csv	non-rewarded	post-stim	at_center	0.0
32	flytrax20190116_163246.csv	non-rewarded	after_relocation	at_center	0.019744160177975527
32	flytrax20190116_163246.csv	non-rewarded	baseline	at_center	0.005801613131456064
32	flytrax20190116_163246.csv	non-rewarded	relocation	at_center	0.3888888888888889
32	flytrax20190116_163246.csv	non-rewarded	stimulation	at_center	0.0
32	flytrax20190116_163246.csv	non-rewarded	post-stim	at_center	0.0
33	flytrax20190116_180834.csv	rewarded	after_relocation	at_center	0.030766215951401138
33	flytrax20190116_180834.csv	rewarded	baseline	at_center	0.0
33	flytrax20190116_180834.csv	rewarded	relocation	at_center	0.4
33	flytrax20190116_180834.csv	rewarded	stimulation	at_center	0.0
33	flytrax20190116_180834.csv	rewarded	post-stim	at_center	0.0
34	flytrax20190116_192744.csv	rewarded	after_relocation	at_center	0.004092769440654843
34	flytrax20190116_192744.csv	rewarded	baseline	at_center	0.002621919244887257
34	flytrax20190116_192744.csv	rewarded	relocation	at_center	0.0
34	flytrax20190116_192744.csv	rewarded	stimulation	at_center	0.0
34	flytrax20190116_192744.csv	rewarded	post-stim	at_center	0.0
35	flytrax20190118_164239.csv	non-rewarded	after_relocation	at_center	0.0
35	flytrax20190118_164239.csv	non-rewarded	baseline	at_center	0.009032468060867443
35	flytrax20190118_164239.csv	non-rewarded	relocation	at_center	0.0
35	flytrax20190118_164239.csv	non-rewarded	stimulation	at_center	0.0
35	flytrax20190118_164239.csv	non-rewarded	post-stim	at_center	0.0
36	flytrax20190118_171511.csv	non-rewarded	after_relocation	at_center	0.013982392542723977
36	flytrax20190118_171511.csv	non-rewarded	baseline	at_center	0.0541827924977672
36	flytrax20190118_171511.csv	non-rewarded	relocation	at_center	0.0
36	flytrax20190118_171511.csv	non-rewarded	stimulation	at_center	0.0
36	flytrax20190118_171511.csv	non-rewarded	post-stim	at_center	0.0
37	flytrax20190118_181417.csv	non-rewarded	after_relocation	at_center	0.006775538568450313
37	flytrax20190118_181417.csv	non-rewarded	baseline	at_center	0.030393325387365912
37	flytrax20190118_181417.csv	non-rewarded	relocation	at_center	0.2
37	flytrax20190118_181417.csv	non-rewarded	stimulation	at_center	0.0
37	flytrax20190118_181417.csv	non-rewarded	post-stim	at_center	0.0
38	flytrax20190119_171903.csv	non-rewarded	after_relocation	at_center	0.015321536469572725
38	flytrax20190119_171903.csv	non-rewarded	baseline	at_center	0.0
38	flytrax20190119_171903.csv	non-rewarded	relocation	at_center	0.0
38	flytrax20190119_171903.csv	non-rewarded	stimulation	at_center	0.0
38	flytrax20190119_171903.csv	non-rewarded	post-stim	at_center	0.0
39	flytrax20190119_174549.csv	non-rewarded	after_relocation	at_center	0.010463378176382659
39	flytrax20190119_174549.csv	non-rewarded	baseline	at_center	0.0
39	flytrax20190119_174549.csv	non-rewarded	relocation	at_center	0.3157894736842105
39	flytrax20190119_174549.csv	non-rewarded	stimulation	at_center	0.0
39	flytrax20190119_174549.csv	non-rewarded	post-stim	at_center	0.0
0	flytrax20181123_114304.csv	rewarded	test200	at_center	0.0
1	flytrax20181123_152457.csv	rewarded	test200	at_center	0.06612410986775177
3	flytrax20181123_162408.csv	rewarded	test200	at_center	0.008995502248875561
4	flytrax20181127_162328.csv	rewarded	test200	at_center	0.0225
5	flytrax20181204_163734.csv	rewarded	test200	at_center	0.0
6	flytrax20181204_170930.csv	rewarded	test200	at_center	0.05097451274362818
7	flytrax20181205_182038.csv	non-rewarded	test200	at_center	0.0
8	flytrax20181205_184643.csv	non-rewarded	test200	at_center	0.012018027040560842
9	flytrax20181207_161754.csv	rewarded	test200	at_center	0.005
10	flytrax20181207_180201.csv	rewarded	test200	at_center	0.076
11	flytrax20181211_170828.csv	rewarded	test200	at_center	0.21712538226299694
12	flytrax20181211_183411.csv	rewarded	test200	at_center	0.03548225887056472
13	flytrax20181211_185727.csv	non-rewarded	test200	at_center	0.0
14	flytrax20181211_192052.csv	non-rewarded	test200	at_center	0.0
15	flytrax20181212_193040.csv	non-rewarded	test200	at_center	0.0
16	flytrax20181214_174232.csv	rewarded	test200	at_center	0.0
17	flytrax20181217_192137.csv	non-rewarded	test200	at_center	0.007549068948163059
18	flytrax20181218_164433.csv	non-rewarded	test200	at_center	0.01952929394091137
19	flytrax20181218_175537.csv	non-rewarded	test200	at_center	0.03792207792207792
20	flytrax20190109_165747.csv	rewarded	test200	at_center	0.0375
21	flytrax20190110_152909.csv	non-rewarded	test200	at_center	0.0
22	flytrax20190110_162901.csv	non-rewarded	test200	at_center	0.005675954592363261
23	flytrax20190110_170616.csv	rewarded	test200	at_center	0.006
24	flytrax20190110_173636.csv	non-rewarded	test200	at_center	0.0
25	flytrax20190110_182810.csv	rewarded	test200	at_center	0.0085
26	flytrax20190111_164022.csv	non-rewarded	test200	at_center	0.0
27	flytrax20190111_172208.csv	non-rewarded	test200	at_center	0.011609498680738786
28	flytrax20190111_190138.csv	rewarded	test200	at_center	0.0
29	flytrax20190111_192056.csv	rewarded	test200	at_center	0.0030226700251889172
