at_center	at_fictive_reward	at_reward	condition	cum_dist_seg_cm	fly	fname	segment	tseg
0.0	0.019227713332273955	0.00810424280947084	rewarded	456.5537053225938	0	flytrax20181123_114304.csv	after_relocation	629.2047996520996
0.15449960180515	0.0	0.0	rewarded	260.7094751631672	0	flytrax20181123_114304.csv	baseline	424.9058890342712
0.21875	0.0	0.0	rewarded	12.211892535671465	0	flytrax20181123_114304.csv	relocation	3.090522289276123
0.0	0.5122723673792557	0.5122723673792557	rewarded	106.274705027482	0	flytrax20181123_114304.csv	stimulation	126.2029993534088
0.0	0.24074074074074076	0.24074074074074076	rewarded	14.439973358167693	0	flytrax20181123_114304.csv	post-stim	16.100800514221188
0.030021141649048625	0.0061310782241014794	0.03699788583509514	rewarded	393.0217843773097	1	flytrax20181123_152457.csv	after_relocation	476.26289987564087
0.009161793372319687	0.0	0.0	rewarded	143.2135999646967	1	flytrax20181123_152457.csv	baseline	514.1019186973572
0.21052631578947367	0.0	0.0	rewarded	15.39396508942544	1	flytrax20181123_152457.csv	relocation	1.798799991607666
0.0	0.2877906976744186	0.2877906976744186	rewarded	95.92868118159781	1	flytrax20181123_152457.csv	stimulation	206.2939999103546
0.0	0.2682526661197703	0.2682526661197703	rewarded	63.87890731276685	1	flytrax20181123_152457.csv	post-stim	121.80049967765808
0.0033545197740112997	0.025600282485875703	0.10293079096045198	rewarded	535.7287607929413	3	flytrax20181123_162408.csv	after_relocation	566.2944445610046
0.075	0.2175675675675676	0.2175675675675676	rewarded	282.2428033677794	3	flytrax20181123_162408.csv	baseline	443.90030002594
0.21739130434782608	0.0	0.0	rewarded	11.618731733359619	3	flytrax20181123_162408.csv	relocation	2.200999975204468
0.0	0.2592920353982301	0.2592920353982301	rewarded	166.72514540705836	3	flytrax20181123_162408.csv	stimulation	226.294499874115
0.0	0.06687898089171974	0.06687898089171974	rewarded	28.608745116417516	3	flytrax20181123_162408.csv	post-stim	31.3066999912262
0.022484173761187512	0.10674525212835624	0.004365858982754857	rewarded	337.47976589505686	4	flytrax20181127_162328.csv	after_relocation	458.0069005489349
0.014749262536873156	0.010269856877526492	0.010269856877526492	rewarded	615.3955671468287	4	flytrax20181127_162328.csv	baseline	915.2037663459778
0.0	0.0	0.0	rewarded	13.523974936887578	4	flytrax20181127_162328.csv	relocation	5.396899938583374
0.0	0.5562859490550535	0.5562859490550535	rewarded	64.14490358827565	4	flytrax20181127_162328.csv	stimulation	121.60000038146973
0.0	0.5208791208791209	0.5208791208791209	rewarded	89.80442866567051	4	flytrax20181127_162328.csv	post-stim	136.4037001132965
0.0	0.048670062252405215	0.028673835125448032	rewarded	430.9898792965114	5	flytrax20181204_163734.csv	after_relocation	530.8611993789673
0.0	0.0	0.0	rewarded	353.2784244341306	5	flytrax20181204_163734.csv	baseline	784.8043003082275
0.0	0.0	0.0	rewarded	3.045578862114795	5	flytrax20181204_163734.csv	relocation	0.9950001239776612
0.0	0.22960604854755276	0.22960604854755276	rewarded	208.9781714109624	5	flytrax20181204_163734.csv	stimulation	251.19909954071045
0.0	0.19383259911894274	0.19383259911894274	rewarded	57.847901140937346	5	flytrax20181204_163734.csv	post-stim	68.00100016593933
0.06919129357635817	0.007786232525216777	0.0	rewarded	741.1506216361553	6	flytrax20181204_170930.csv	after_relocation	572.4699997901918
0.0	0.00016702856188408218	0.00016702856188408218	rewarded	263.84299372879553	6	flytrax20181204_170930.csv	baseline	603.5056991577147
0.16071428571428573	0.0	0.0	rewarded	16.57530739182045	6	flytrax20181204_170930.csv	relocation	5.501999378204347
0.03546099290780142	0.13429421185083504	0.13429421185083504	rewarded	441.12561571888426	6	flytrax20181204_170930.csv	stimulation	441.3982338905335
0.0	0.2465753424657534	0.2465753424657534	rewarded	29.63064240739952	6	flytrax20181204_170930.csv	post-stim	21.80399990081787
0.0	0.004763469119579501	0.0	non-rewarded	862.0882642889113	7	flytrax20181205_182038.csv	after_relocation	645.7632000446321
0.0066434147151635935	0.0	0.0	non-rewarded	606.5697484470858	7	flytrax20181205_182038.csv	baseline	617.6061003208159
0.4782608695652174	0.0	0.0	non-rewarded	9.945441083410724	7	flytrax20181205_182038.csv	relocation	2.201000213623047
0.0	0.9629629629629628	0.9629629629629628	non-rewarded	4.126257579632286	7	flytrax20181205_182038.csv	stimulation	2.5978996753692627
0.0	0.0	0.0	non-rewarded	4.064597729772894	7	flytrax20181205_182038.csv	post-stim	2.5980224609375
0.013513513513513514	0.0	0.00828658847526772	non-rewarded	888.5490129341174	8	flytrax20181205_184643.csv	after_relocation	789.5992217063904
0.014555589965933724	0.052028491793124805	0.052028491793124805	non-rewarded	300.09726417087927	8	flytrax20181205_184643.csv	baseline	332.70720028877264
0.38461538461538464	0.0	0.0	non-rewarded	8.994980790162414	8	flytrax20181205_184643.csv	relocation	1.2060003280639648
0.0	0.018048128342245992	0.018048128342245992	non-rewarded	320.9042977009025	8	flytrax20181205_184643.csv	stimulation	299.99399971961975
0.0	0.0	0.0	non-rewarded	3.287430072858176	8	flytrax20181205_184643.csv	post-stim	1.7990007400512695
0.0017325017325017325	0.04348579348579349	0.003465003465003465	rewarded	565.7005148563195	9	flytrax20181207_161754.csv	after_relocation	577.0629999637604
0.0	0.0	0.0	rewarded	228.16364513561317	9	flytrax20181207_161754.csv	baseline	546.4039559364319
0.05555555555555555	0.0	0.0	rewarded	7.238560990034587	9	flytrax20181207_161754.csv	relocation	1.6985998153686523
0.0	0.6144697720515362	0.6144697720515362	rewarded	99.03800993889747	9	flytrax20181207_161754.csv	stimulation	100.80469965934752
