condition,estimated_food_x_cm,estimated_food_y_cm,reward_x_cm,reward_y_cm,reward_relative_x,reward_relative_y
non-rewarded,-0.3802702702702703,6.625135135135136,-9.459459459459456,6.486486486486486,-9.07918918918919,-0.13864864864864845
rewarded,-0.27798008534850616,7.068278805120909,-9.459459459459456,6.486486486486485,-9.181479374110953,-0.5817923186344233
