t,timestamp,frame,x_px,y_px,led_1
0.0,1543939770.6722004,43539774.5,307.86000000000007,633.93,0.0
0.1,1543939770.7722003,43539784.5,307.89000000000004,633.9300000000001,0.0
0.2,1543939770.873,43539794.5,307.88000000000005,633.9599999999999,0.0
0.30000000000000004,1543939770.9731,43539804.5,307.89000000000004,633.98,0.0
0.4,1543939771.074,43539814.5,307.88,634.0,0.0
0.5,1543939771.1741998,43539824.5,307.90000000000003,633.9699999999999,0.0
0.6000000000000001,1543939771.2749999,43539834.5,307.90000000000003,633.97,0.0
0.7000000000000001,1543939771.3751998,43539844.5,307.88000000000005,633.9399999999999,0.0
0.8,1543939771.476,43539854.5,307.89000000000004,633.9799999999999,0.0
0.9,1543939771.5764997,43539864.5,307.89000000000004,633.9399999999999,0.0
1.0,1543939771.677,43539874.5,307.89000000000004,633.98,0.0
1.1,1543939771.7772,43539884.5,307.87,633.9599999999998,0.0
1.2000000000000002,1543939771.8779998,43539894.5,307.87,633.9599999999999,0.0
1.3,1543939771.9781,43539904.5,307.88,633.9799999999999,0.0
1.4000000000000001,1543939772.079,43539914.5,307.86000000000007,633.9399999999999,0.0
1.5,1543939772.1793,43539924.5,307.89,633.9399999999999,0.0
1.6,1543939772.2800002,43539934.5,307.86,633.98,0.0
1.7000000000000002,1543939772.3803,43539944.5,307.86000000000007,633.95,0.0
1.8,1543939772.4810002,43539954.5,307.9,633.97,0.0
1.9000000000000001,1543939772.5762224,43539964.0,307.8777777777778,633.9666666666667,0.0
2.0,1543939772.6721,43539973.5,307.84000000000003,633.9799999999999,0.0
2.1,1543939772.7722003,43539983.5,307.88000000000005,634.0,0.0
2.2,1543939772.873,43539993.5,307.86000000000007,634.0,0.0
2.3000000000000003,1543939772.9734,43540003.5,307.89000000000004,633.99,0.0
2.4000000000000004,1543939773.074,43540013.5,307.87000000000006,634.0,0.0
2.5,1543939773.1741998,43540023.5,307.87000000000006,633.99,0.0
2.6,1543939773.2749999,43540033.5,307.89000000000004,633.96,0.0
2.7,1543939773.3753,43540043.5,307.88,633.9300000000001,0.0
2.8000000000000003,1543939773.476,43540053.5,307.87,633.99,0.0
2.9000000000000004,1543939773.5761998,43540063.5,307.88,633.9599999999999,0.0
3.0,1543939773.677,43540073.5,307.91,633.9499999999999,0.0
3.1,1543939773.7773,43540083.5,307.88,633.9599999999999,0.0
3.2,1543939773.8779998,43540093.5,307.85,633.97,0.0
3.3000000000000003,1543939773.9782999,43540103.5,307.89,633.9499999999999,0.0
3.4000000000000004,1543939774.079,43540113.5,307.89000000000004,633.92,0.0
3.5,1543939774.1792002,43540123.5,307.89000000000004,633.95,0.0
3.6,1543939774.2800002,43540133.5,307.92,633.9199999999998,0.0
3.7,1543939774.3802001,43540143.5,307.88,633.98,0.0
3.8000000000000003,1543939774.4810002,43540153.5,307.88000000000005,633.9399999999999,0.0
3.9000000000000004,1543939774.5762224,43540163.0,307.8777777777778,633.9777777777778,0.0
4.0,1543939774.6720002,43540172.5,307.87,633.97,0.0
4.1000000000000005,1543939774.7724004,43540182.5,307.89000000000004,633.98,0.0
4.2,1543939774.873,43540192.5,307.91,633.9499999999999,0.0
4.3,1543939774.9733002,43540202.5,307.90000000000003,633.9199999999998,0.0
4.4,1543939775.074,43540212.5,307.90000000000003,633.98,0.0
4.5,1543939775.1741998,43540222.5,307.84000000000003,633.9399999999999,0.0
4.6000000000000005,1543939775.2749999,43540232.5,307.9,633.95,0.0
4.7,1543939775.3753,43540242.5,307.86000000000007,633.9399999999999,0.0
4.800000000000001,1543939775.476,43540252.5,307.88,633.9199999999998,0.0
4.9,1543939775.5763,43540262.5,307.88000000000005,633.9399999999999,0.0
5.0,1543939775.677,43540272.5,307.91,633.95,0.0
5.1000000000000005,1543939775.7773,43540282.5,307.89000000000004,633.93,0.0
5.2,1543939775.8779998,43540292.5,307.90000000000003,633.9,0.0
5.300000000000001,1543939775.9782999,43540302.5,307.88,633.95,0.0
5.4,1543939776.079,43540312.5,307.87000000000006,633.8999999999999,0.0
5.5,1543939776.1743333,43540322.0,307.8888888888889,633.9444444444445,0.0
5.6000000000000005,1543939776.2752728,43540332.0,307.92727272727274,633.9545454545454,0.0
5.7,1543939776.3803,43540342.5,307.89,633.99,0.0
5.800000000000001,1543939776.4810002,43540352.5,307.87000000000006,633.9900000000001,0.0
5.9,1543939776.5763333,43540362.0,307.90000000000003,633.9555555555556,0.0
6.0,1543939776.6720002,43540371.5,307.87,633.91,0.0
6.1000000000000005,1543939776.7723002,43540381.5,307.86,633.97,0.0
6.2,1543939776.873,43540391.5,307.91,633.9099999999999,0.0
6.300000000000001,1543939776.9733002,43540401.5,307.89000000000004,633.91,0.0
6.4,1543939777.074,43540411.5,307.90000000000003,633.95,0.0
6.5,1543939777.1742997,43540421.5,307.89000000000004,633.96,0.0
6.6000000000000005,1543939777.2749999,43540431.5,307.89000000000004,633.93,0.0
6.7,1543939777.3753,43540441.5,307.89000000000004,633.9499999999999,0.0
6.800000000000001,1543939777.476,43540451.5,307.89000000000004,633.93,0.0
6.9,1543939777.5763,43540461.5,307.89000000000004,633.97,0.0
7.0,1543939777.677,43540471.5,307.90000000000003,633.9499999999999,0.0
7.1000000000000005,1543939777.7773,43540481.5,307.90000000000003,633.98,0.0
7.2,1543939777.8779998,43540491.5,307.92,633.9599999999999,0.0
7.300000000000001,1543939777.9782999,43540501.5,307.91,633.98,0.0
7.4,1543939778.079,43540511.5,307.90000000000003,633.9599999999999,0.0
7.5,1543939778.1794,43540521.5,307.88000000000005,634.01,0.0
