estimated_food_x_cm,estimated_food_y_cm,estimated_food_x,estimated_food_y,fly,condition,reward_x_cm,reward_y_cm,reward_relative_x,reward_relative_y
2.6102702702702683,7.962162162162159,673.29,667.3,0,rewarded,-9.45945945945946,6.486486486486487,-12.069729729729728,-1.4756756756756726
5.97837837837838,5.935135135135133,735.6,629.8,1,rewarded,-9.45945945945946,6.486486486486487,-15.43783783783784,0.5513513513513537
2.097297297297295,8.827027027027025,663.8,683.3,3,rewarded,-9.45945945945946,6.486486486486487,-11.556756756756755,-2.3405405405405384
3.72972972972973,7.875675675675678,694.0,665.7,4,rewarded,-9.45945945945946,6.486486486486487,-13.18918918918919,-1.3891891891891914
-6.7513513513513495,8.086486486486487,500.1,669.6,5,rewarded,-9.45945945945946,6.486486486486487,-2.70810810810811,-1.6000000000000005
7.0108108108108125,8.0,754.7,668.0,6,rewarded,-9.45945945945946,6.486486486486487,-16.470270270270273,-1.5135135135135132
-1.9513513513513523,6.7513513513513495,588.9,644.9,9,rewarded,-9.45945945945946,6.486486486486487,-7.508108108108107,-0.2648648648648626
1.054054054054054,6.567567567567568,644.5,641.5,10,rewarded,-9.45945945945946,6.486486486486487,-10.513513513513514,-0.08108108108108159
-2.5297297297297274,6.427027027027027,578.2,638.9,11,rewarded,-9.45945945945946,6.486486486486487,-6.929729729729733,0.059459459459460184
-4.600000000000001,7.070270270270267,539.9,650.8,12,rewarded,-9.45945945945946,6.486486486486487,-4.859459459459458,-0.5837837837837805
-2.1297297297297284,7.064864864864867,585.6,650.7,16,rewarded,-9.45945945945946,6.486486486486487,-7.329729729729731,-0.57837837837838
-0.6000000000000012,7.740540540540542,613.9,663.2,20,rewarded,-9.45945945945946,6.486486486486487,-8.859459459459458,-1.2540540540540555
-0.3405405405405381,7.0,618.7,649.5,23,rewarded,-9.45945945945946,6.486486486486487,-9.118918918918922,-0.5135135135135132
-2.1135135135135146,6.497297297297299,585.9,640.2,25,rewarded,-9.45945945945946,6.486486486486487,-7.345945945945945,-0.010810810810812477
0.34594594594594474,6.286486486486484,631.4,636.3,28,rewarded,-9.45945945945946,6.486486486486487,-9.805405405405404,0.20000000000000284
-2.3297297297297312,5.756756756756758,581.9,626.5,29,rewarded,-9.45945945945946,6.486486486486487,-7.129729729729728,0.7297297297297289
-3.2378378378378367,6.6108108108108095,565.1,642.3,30,rewarded,-9.45945945945946,6.486486486486487,-6.2216216216216225,-0.12432432432432261
-1.1567567567567556,6.102702702702701,603.6,632.9,33,rewarded,-9.45945945945946,6.486486486486487,-8.302702702702703,0.38378378378378564
-0.3675675675675651,7.735135135135136,618.2,663.1,34,rewarded,-9.45945945945946,6.486486486486487,-9.091891891891894,-1.2486486486486488
0.8810810810810786,6.086486486486487,641.3,632.6,7,non-rewarded,-9.45945945945946,6.486486486486487,-10.340540540540538,0.39999999999999947
0.3729729729729717,7.318918918918919,631.9,655.4,8,non-rewarded,-9.45945945945946,6.486486486486487,-9.832432432432432,-0.8324324324324319
2.616216216216215,7.951351351351353,673.4,667.1,13,non-rewarded,-9.45945945945946,6.486486486486487,-12.075675675675674,-1.4648648648648663
0.6864864864864889,6.583783783783781,637.7,641.8,14,non-rewarded,-9.45945945945946,6.486486486486487,-10.145945945945948,-0.09729729729729453
-1.4756756756756733,6.951351351351353,597.7,648.6,15,non-rewarded,-9.45945945945946,6.486486486486487,-7.983783783783786,-0.46486486486486633
-4.513513513513512,6.97837837837838,541.5,649.1,17,non-rewarded,-9.45945945945946,6.486486486486487,-4.945945945945947,-0.49189189189189353
2.8216216216216234,8.005405405405407,677.2,668.1,18,non-rewarded,-9.45945945945946,6.486486486486487,-12.281081081081084,-1.5189189189189198
-1.8216216216216239,7.11891891891892,591.3,651.7,19,non-rewarded,-9.45945945945946,6.486486486486487,-7.637837837837836,-0.6324324324324335
-2.9783783783783795,8.816216216216217,569.9,683.1,21,non-rewarded,-9.45945945945946,6.486486486486487,-6.48108108108108,-2.3297297297297304
-1.5945945945945943,6.454054054054053,595.5,639.4,22,non-rewarded,-9.45945945945946,6.486486486486487,-7.864864864864865,0.03243243243243388
-1.4594594594594594,7.513513513513512,598.0,659.0,24,non-rewarded,-9.45945945945946,6.486486486486487,-8.0,-1.0270270270270254
1.162162162162162,7.697297297297295,646.5,662.4,26,non-rewarded,-9.45945945945946,6.486486486486487,-10.621621621621621,-1.2108108108108082
-1.2108108108108095,6.443243243243246,602.6,639.2,27,non-rewarded,-9.45945945945946,6.486486486486487,-8.24864864864865,0.043243243243241025
-2.410810810810812,5.1891891891891895,580.4,616.0,31,non-rewarded,-9.45945945945946,6.486486486486487,-7.048648648648648,1.2972972972972974
-0.356756756756758,7.313513513513511,618.4,655.3,32,non-rewarded,-9.45945945945946,6.486486486486487,-9.102702702702702,-0.8270270270270244
1.0162162162162138,5.929729729729733,643.8,629.7,35,non-rewarded,-9.45945945945946,6.486486486486487,-10.475675675675674,0.5567567567567542
-1.005405405405407,5.513513513513512,606.4,622.0,36,non-rewarded,-9.45945945945946,6.486486486486487,-8.454054054054053,0.9729729729729746
-2.8270270270270244,6.070270270270267,572.7,632.3,37,non-rewarded,-9.45945945945946,6.486486486486487,-6.632432432432435,0.4162162162162195
1.362162162162165,3.7945945945945967,650.2,590.2,38,non-rewarded,-9.45945945945946,6.486486486486487,-10.821621621621624,2.69189189189189
3.1297297297297284,4.772972972972972,682.9,608.3,39,non-rewarded,-9.45945945945946,6.486486486486487,-12.589189189189188,1.713513513513515
